user_id,item_id,category_id,event_order
0,49,4,0
0,49,4,1
0,57,5,2
0,58,5,3
0,44,4,4
0,58,5,5
0,53,5,6
0,49,4,7
0,49,4,8
0,49,4,9
0,58,5,10
0,45,4,11
0,49,4,12
0,53,5,13
0,43,4,14
0,49,4,15
0,48,4,16
0,51,5,17
1,33,3,0
1,39,3,1
1,33,3,2
1,26,2,3
1,33,3,4
1,27,2,5
1,34,3,6
1,22,2,7
1,25,2,8
1,14,1,9
1,21,2,10
1,32,3,11
1,25,2,12
1,31,3,13
1,33,3,14
1,46,4,15
1,27,2,16
1,26,2,17
2,56,5,0
2,65,6,1
2,27,2,2
2,35,3,3
2,69,6,4
2,61,6,5
2,64,6,6
2,67,6,7
2,24,2,8
2,51,5,9
2,62,6,10
2,65,6,11
2,25,2,12
2,60,6,13
2,48,4,14
2,27,2,15
2,21,2,16
2,25,2,17
3,5,0,0
3,3,0,1
3,18,1,2
3,3,0,3
3,7,0,4
3,49,4,5
3,8,0,6
3,25,2,7
3,6,0,8
3,26,2,9
3,3,0,10
3,29,2,11
3,21,2,12
3,4,0,13
3,27,2,14
3,25,2,15
3,21,2,16
3,6,0,17
4,16,1,0
4,71,7,1
4,11,1,2
4,31,3,3
4,38,3,4
4,32,3,5
4,34,3,6
4,39,3,7
4,69,6,8
4,69,6,9
4,25,2,10
4,66,6,11
4,31,3,12
4,65,6,13
4,33,3,14
4,62,6,15
4,62,6,16
4,66,6,17
5,17,1,0
5,25,2,1
5,27,2,2
5,11,1,3
5,26,2,4
5,18,1,5
5,13,1,6
5,25,2,7
5,22,2,8
5,25,2,9
5,25,2,10
5,24,2,11
5,49,4,12
5,13,1,13
5,17,1,14
5,19,1,15
5,28,2,16
5,25,2,17
6,23,2,0
6,23,2,1
6,3,0,2
6,4,0,3
6,49,4,4
6,48,4,5
6,4,0,6
6,13,1,7
6,6,0,8
6,10,1,9
6,1,0,10
6,6,0,11
6,6,0,12
6,53,5,13
6,14,1,14
6,4,0,15
6,10,1,16
6,11,1,17
7,50,5,0
7,38,3,1
7,8,0,2
7,50,5,3
7,72,7,4
7,50,5,5
7,58,5,6
7,0,0,7
7,5,0,8
7,58,5,9
7,50,5,10
7,49,4,11
7,21,2,12
7,8,0,13
7,53,5,14
7,20,2,15
7,43,4,16
7,55,5,17
8,50,5,0
8,3,0,1
8,1,0,2
8,51,5,3
8,3,0,4
8,3,0,5
8,6,0,6
8,79,7,7
8,4,0,8
8,3,0,9
8,78,7,10
8,72,7,11
8,74,7,12
8,17,1,13
8,78,7,14
8,79,7,15
8,71,7,16
8,79,7,17
9,67,6,0
9,74,7,1
9,72,7,2
9,53,5,3
9,71,7,4
9,5,0,5
9,77,7,6
9,72,7,7
9,17,1,8
9,78,7,9
9,79,7,10
9,74,7,11
9,67,6,12
9,72,7,13
9,3,0,14
9,38,3,15
9,65,6,16
9,67,6,17
10,21,2,0
10,61,6,1
10,67,6,2
10,67,6,3
10,64,6,4
10,74,7,5
10,29,2,6
10,65,6,7
10,27,2,8
10,25,2,9
10,68,6,10
10,27,2,11
10,64,6,12
10,28,2,13
10,21,2,14
10,21,2,15
10,29,2,16
10,61,6,17
11,18,1,0
11,3,0,1
11,70,7,2
11,14,1,3
11,18,1,4
11,72,7,5
11,32,3,6
11,49,4,7
11,10,1,8
11,14,1,9
11,75,7,10
11,62,6,11
11,77,7,12
11,76,7,13
11,14,1,14
11,35,3,15
11,69,6,16
11,11,1,17
12,75,7,0
12,27,2,1
12,72,7,2
12,61,6,3
12,74,7,4
12,9,0,5
12,49,4,6
12,77,7,7
12,75,7,8
12,8,0,9
12,77,7,10
12,32,3,11
12,72,7,12
12,72,7,13
12,32,3,14
12,75,7,15
12,49,4,16
12,78,7,17
13,77,7,0
13,78,7,1
13,49,4,2
13,72,7,3
13,72,7,4
13,58,5,5
13,58,5,6
13,50,5,7
13,50,5,8
13,74,7,9
13,49,4,10
13,72,7,11
13,32,3,12
13,55,5,13
13,10,1,14
13,72,7,15
13,52,5,16
13,57,5,17
14,72,7,0
14,24,2,1
14,74,7,2
14,74,7,3
14,78,7,4
14,27,2,5
14,76,7,6
14,21,2,7
14,79,7,8
14,25,2,9
14,27,2,10
14,21,2,11
14,75,7,12
14,45,4,13
14,78,7,14
14,23,2,15
14,77,7,16
14,27,2,17
15,53,5,0
15,10,1,1
15,39,3,2
15,38,3,3
15,18,1,4
15,37,3,5
15,33,3,6
15,32,3,7
15,69,6,8
15,46,4,9
15,31,3,10
15,64,6,11
15,35,3,12
15,46,4,13
15,35,3,14
15,49,4,15
15,60,6,16
15,33,3,17
16,48,4,0
16,24,2,1
16,25,2,2
16,27,2,3
16,12,1,4
16,20,2,5
16,56,5,6
16,25,2,7
16,62,6,8
16,20,2,9
16,63,6,10
16,24,2,11
16,67,6,12
16,67,6,13
16,60,6,14
16,27,2,15
16,9,0,16
16,65,6,17
17,40,4,0
17,49,4,1
17,3,0,2
17,48,4,3
17,49,4,4
17,72,7,5
17,46,4,6
17,45,4,7
17,46,4,8
17,33,3,9
17,78,7,10
17,75,7,11
17,49,4,12
17,40,4,13
17,40,4,14
17,78,7,15
17,43,4,16
17,43,4,17
18,67,6,0
18,67,6,1
18,73,7,2
18,69,6,3
18,75,7,4
18,69,6,5
18,64,6,6
18,51,5,7
18,74,7,8
18,60,6,9
18,72,7,10
18,72,7,11
18,78,7,12
18,31,3,13
18,57,5,14
18,72,7,15
18,65,6,16
18,44,4,17
19,48,4,0
19,25,2,1
19,22,2,2
19,49,4,3
19,46,4,4
19,49,4,5
19,45,4,6
19,26,2,7
19,24,2,8
19,43,4,9
19,48,4,10
19,3,0,11
19,43,4,12
19,43,4,13
19,48,4,14
19,25,2,15
19,49,4,16
19,31,3,17
20,67,6,0
20,50,5,1
20,65,6,2
20,50,5,3
20,53,5,4
20,49,4,5
20,55,5,6
20,27,2,7
20,69,6,8
20,4,0,9
20,55,5,10
20,65,6,11
20,44,4,12
20,58,5,13
20,57,5,14
20,64,6,15
20,61,6,16
20,65,6,17
21,50,5,0
21,12,1,1
21,3,0,2
21,4,0,3
21,58,5,4
21,7,0,5
21,58,5,6
21,8,0,7
21,2,0,8
21,8,0,9
21,25,2,10
21,3,0,11
21,41,4,12
21,56,5,13
21,35,3,14
21,50,5,15
21,79,7,16
21,5,0,17
22,49,4,0
22,49,4,1
22,49,4,2
22,42,4,3
22,72,7,4
22,76,7,5
22,77,7,6
22,49,4,7
22,48,4,8
22,57,5,9
22,78,7,10
22,78,7,11
22,46,4,12
22,78,7,13
22,72,7,14
22,75,7,15
22,43,4,16
22,78,7,17
23,12,1,0
23,46,4,1
23,11,1,2
23,64,6,3
23,50,5,4
23,49,4,5
23,66,6,6
23,65,6,7
23,10,1,8
23,65,6,9
23,46,4,10
23,12,1,11
23,17,1,12
23,39,3,13
23,67,6,14
23,67,6,15
23,11,1,16
23,21,2,17
24,76,7,0
24,72,7,1
24,60,6,2
24,70,7,3
24,71,7,4
24,78,7,5
24,65,6,6
24,61,6,7
24,74,7,8
24,67,6,9
24,69,6,10
24,79,7,11
24,72,7,12
24,72,7,13
24,78,7,14
24,74,7,15
24,78,7,16
24,72,7,17
25,46,4,0
25,45,4,1
25,49,4,2
25,33,3,3
25,43,4,4
25,71,7,5
25,58,5,6
25,17,1,7
25,43,4,8
25,49,4,9
25,48,4,10
25,49,4,11
25,43,4,12
25,74,7,13
25,46,4,14
25,48,4,15
25,48,4,16
25,49,4,17
26,24,2,0
26,23,2,1
26,74,7,2
26,27,2,3
26,78,7,4
26,21,2,5
26,50,5,6
26,73,7,7
26,48,4,8
26,28,2,9
26,74,7,10
26,48,4,11
26,78,7,12
26,25,2,13
26,71,7,14
26,72,7,15
26,78,7,16
26,21,2,17
27,48,4,0
27,49,4,1
27,48,4,2
27,45,4,3
27,49,4,4
27,35,3,5
27,11,1,6
27,49,4,7
27,49,4,8
27,49,4,9
27,45,4,10
27,48,4,11
27,48,4,12
27,37,3,13
27,49,4,14
27,61,6,15
27,43,4,16
27,31,3,17
28,48,4,0
28,65,6,1
28,49,4,2
28,48,4,3
28,48,4,4
28,7,0,5
28,41,4,6
28,49,4,7
28,43,4,8
28,9,0,9
28,3,0,10
28,9,0,11
28,46,4,12
28,49,4,13
28,43,4,14
28,49,4,15
28,4,0,16
28,49,4,17
29,38,3,0
29,37,3,1
29,67,6,2
29,32,3,3
29,68,6,4
29,68,6,5
29,69,6,6
29,67,6,7
29,39,3,8
29,60,6,9
29,39,3,10
29,33,3,11
29,77,7,12
29,9,0,13
29,32,3,14
29,69,6,15
29,69,6,16
29,33,3,17
30,74,7,0
30,65,6,1
30,55,5,2
30,3,0,3
30,53,5,4
30,54,5,5
30,33,3,6
30,35,3,7
30,51,5,8
30,58,5,9
30,74,7,10
30,71,7,11
30,58,5,12
30,74,7,13
30,75,7,14
30,57,5,15
30,72,7,16
30,78,7,17
31,51,5,0
31,55,5,1
31,40,4,2
31,54,5,3
31,57,5,4
31,55,5,5
31,50,5,6
31,53,5,7
31,53,5,8
31,25,2,9
31,1,0,10
31,61,6,11
31,48,4,12
31,8,0,13
31,7,0,14
31,31,3,15
31,50,5,16
31,50,5,17
32,79,7,0
32,6,0,1
32,78,7,2
32,14,1,3
32,48,4,4
32,74,7,5
32,72,7,6
32,72,7,7
32,31,3,8
32,76,7,9
32,72,7,10
32,78,7,11
32,79,7,12
32,73,7,13
32,74,7,14
32,78,7,15
32,72,7,16
32,72,7,17
33,24,2,0
33,25,2,1
33,25,2,2
33,0,0,3
33,3,0,4
33,21,2,5
33,7,0,6
33,26,2,7
33,76,7,8
33,7,0,9
33,29,2,10
33,20,2,11
33,27,2,12
33,3,0,13
33,25,2,14
33,24,2,15
33,32,3,16
33,3,0,17
34,48,4,0
34,25,2,1
34,49,4,2
34,26,2,3
34,21,2,4
34,22,2,5
34,49,4,6
34,49,4,7
34,49,4,8
34,49,4,9
34,49,4,10
34,49,4,11
34,46,4,12
34,48,4,13
34,53,5,14
34,45,4,15
34,27,2,16
34,49,4,17
35,49,4,0
35,67,6,1
35,49,4,2
35,49,4,3
35,48,4,4
35,45,4,5
35,49,4,6
35,49,4,7
35,49,4,8
35,53,5,9
35,69,6,10
35,49,4,11
35,49,4,12
35,65,6,13
35,49,4,14
35,46,4,15
