user_id,held_out_item,recommendations
0,51,46|50|72|27|25
1,26,49|48|72|24|38
2,25,49|72|46|50|43
3,6,48|46|72|24|43
4,66,49|48|72|46|27
5,25,48|46|21|43|72
6,11,46|43|25|72|27
7,55,48|46|25|27|78
8,79,49|75|48|25|46
9,67,49|75|46|48|25
10,61,49|72|48|24|78
11,11,48|78|46|25|65
12,78,48|78|25|46|65
13,57,48|75|46|25|43
14,27,49|48|46|65|43
15,33,48|25|72|43|65
16,65,49|65|46|21|72
17,43,25|65|27|74|31
18,44,49|48|25|50|46
19,31,27|72|21|65|78
20,65,48|72|25|46|43
21,5,49|72|48|27|46
22,78,74|45|25|27|65
23,21,48|43|72|25|3
24,72,49|75|25|48|46
25,49,72|78|25|65|27
26,21,49|46|75|43|65
27,31,46|25|72|65|27
28,49,72|25|45|27|78
29,33,31|49|65|72|25
30,78,49|78|50|48|25
31,50,49|72|46|27|58
32,72,49|46|75|25|43
33,3,49|48|72|46|4
34,49,43|72|24|50|78
35,64,43|72|25|50|27
36,74,72|65|78|49|25
37,72,72|49|46|48|25
38,47,25|49|48|31|72
39,48,25|27|45|72|31
40,14,49|48|21|46|72
41,54,49|50|58|25|48
42,78,49|48|25|75|27
43,62,49|46|3|25|67
44,1,49|48|25|46|78
45,60,49|48|78|4|25
46,40,65|72|25|27|78
47,31,49|72|27|65|48
48,69,49|48|72|25|43
49,10,48|46|4|25|43
50,43,48|3|72|25|45
51,56,49|33|31|27|48
52,46,45|3|72|25|27
53,72,49|48|27|43|39
54,49,49|78|25|65|53
55,74,49|48|74|46|31
56,43,45|72|25|27|31
57,7,49|46|78|43|25
58,5,48|25|46|72|43
59,24,27|72|65|21|44
60,69,49|48|72|25|78
61,35,46|25|31|33|72
62,27,46|43|25|27|65
63,49,43|25|72|3|45
64,38,46|43|72|25|32
65,19,48|27|72|43|65
66,61,49|48|46|27|72
67,9,43|25|72|33|27
68,10,49|65|27|48|46
69,72,49|74|75|48|46
70,17,49|25|48|46|72
71,49,46|72|25|27|31
72,35,49|48|46|72|27
73,52,49|4|48|72|46
74,78,49|78|50|48|25
75,25,48|46|72|43|78
76,72,48|46|75|4|25
77,48,43|72|25|27|65
78,47,46|43|33|25|78
79,11,72|25|65|50|75
80,33,72|48|46|25|65
81,17,49|27|48|46|24
82,10,49|72|48|25|43
83,38,49|27|48|72|46
84,72,49|25|46|78|27
85,49,48|46|33|72|25
86,64,48|43|74|3|25
87,73,49|48|3|46|33
88,48,25|72|78|65|75
89,7,48|25|46|72|27
90,30,49|31|46|48|72
